order_id,order_date,ship_mode,segment,country,city,state,postal_code,region,category,sub_category,product_id,cost_price,list_price,quantity,discount_percent,total_revenue,discounted_amount,total_cost,net_revenue,profit,profit_margin %
23,2023-05-06,Standard Class,Corporate,United States,Fremont,Nebraska,68025,Central,Office Supplies,Appliances,OFF-AP-10001492,50,60,7,0.03,420,12.6,350,407.4,57.39999999999998,14.089347079037795
24,2023-05-21,Second Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Furniture,Chairs,FUR-CH-10002774,60,70,2,0.04,140,5.6000000000000005,120,134.4,14.400000000000006,10.714285714285717
25,2023-02-24,Standard Class,Consumer,United States,Orem,Utah,84057,West,Furniture,Tables,FUR-TA-10000577,900,1040,3,0.05,3120,156.0,2700,2964.0,264.0,8.906882591093117
26,2022-06-20,Second Class,Consumer,United States,Los Angeles,California,90049,West,Office Supplies,Binders,OFF-BI-10001634,10,10,2,0.05,20,1.0,20,19.0,-1.0,-5.263157894736842
27,2022-02-08,Second Class,Consumer,United States,Los Angeles,California,90049,West,Technology,Accessories,TEC-AC-10003027,80,90,3,0.03,270,8.1,240,261.9,21.899999999999977,8.361970217640312
28,2023-12-11,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Furniture,Bookcases,FUR-BO-10004834,2740,3080,7,0.03,21560,646.8,19180,20913.2,1733.2000000000007,8.287588699959837
29,2022-08-21,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Binders,OFF-BI-10000474,10,10,2,0.05,20,1.0,20,19.0,-1.0,-5.263157894736842
30,2022-08-14,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Furniture,Furnishings,FUR-FU-10004848,100,120,3,0.04,360,14.4,300,345.6,45.60000000000002,13.19444444444445
32,2023-01-19,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Art,OFF-AR-10004042,70,90,6,0.04,540,21.6,420,518.4,98.39999999999998,18.981481481481477
33,2023-01-30,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Binders,OFF-BI-10001525,10,10,6,0.05,60,3.0,60,57.0,-3.0,-5.263157894736842
34,2022-06-03,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Art,OFF-AR-10001683,20,20,2,0.04,40,1.6,40,38.4,-1.6000000000000014,-4.1666666666666705
35,2022-09-28,Second Class,Home Office,United States,Houston,Texas,77095,Central,Office Supplies,Paper,OFF-PA-10000249,30,30,3,0.03,90,2.6999999999999997,90,87.3,-2.700000000000003,-3.0927835051546424
36,2022-10-30,First Class,Corporate,United States,Richardson,Texas,75080,Central,Technology,Phones,TEC-PH-10004977,1020,1100,7,0.05,7700,385.0,7140,7315.0,175.0,2.3923444976076556
37,2023-07-27,First Class,Corporate,United States,Richardson,Texas,75080,Central,Furniture,Furnishings,FUR-FU-10003664,180,190,5,0.04,950,38.0,900,912.0,12.0,1.3157894736842104
38,2023-03-07,Standard Class,Home Office,United States,Houston,Texas,77041,Central,Office Supplies,Envelopes,OFF-EN-10002986,90,110,9,0.02,990,19.8,810,970.2,160.20000000000005,16.51205936920223
39,2023-08-18,Standard Class,Home Office,United States,Houston,Texas,77041,Central,Furniture,Bookcases,FUR-BO-10002545,460,530,3,0.02,1590,31.8,1380,1558.2,178.20000000000005,11.436272622256451
40,2022-01-20,Standard Class,Home Office,United States,Houston,Texas,77041,Central,Furniture,Chairs,FUR-CH-10004218,200,210,3,0.02,630,12.6,600,617.4,17.399999999999977,2.8182701652089373
41,2023-06-29,Standard Class,Home Office,United States,Houston,Texas,77041,Central,Technology,Phones,TEC-PH-10000486,350,370,4,0.05,1480,74.0,1400,1406.0,6.0,0.42674253200568996
42,2022-06-28,Standard Class,Corporate,United States,Naperville,Illinois,60540,Central,Technology,Phones,TEC-PH-10004093,140,150,4,0.03,600,18.0,560,582.0,22.0,3.7800687285223367
43,2023-02-09,Standard Class,Corporate,United States,Los Angeles,California,90049,West,Office Supplies,Storage,OFF-ST-10003479,70,80,2,0.05,160,8.0,140,152.0,12.0,7.894736842105263
44,2023-09-18,Standard Class,Corporate,United States,Melbourne,Florida,32935,South,Office Supplies,Storage,OFF-ST-10003282,90,100,2,0.04,200,8.0,180,192.0,12.0,6.25
45,2022-11-11,First Class,Corporate,United States,Eagan,Minnesota,55122,Central,Technology,Accessories,TEC-AC-10000171,40,50,2,0.02,100,2.0,80,98.0,18.0,18.367346938775512
46,2022-05-27,First Class,Corporate,United States,Eagan,Minnesota,55122,Central,Office Supplies,Binders,OFF-BI-10003291,20,20,2,0.05,40,2.0,40,38.0,-2.0,-5.263157894736842
47,2023-02-03,Second Class,Consumer,United States,Westland,Michigan,48185,Central,Office Supplies,Storage,OFF-ST-10001713,180,210,4,0.04,840,33.6,720,806.4,86.39999999999998,10.714285714285712
48,2022-02-16,Standard Class,Consumer,United States,Dover,Delaware,19901,East,Technology,Accessories,TEC-AC-10002167,50,50,3,0.05,150,7.5,150,142.5,-7.5,-5.263157894736842
49,2022-05-06,Standard Class,Consumer,United States,Dover,Delaware,19901,East,Technology,Phones,TEC-PH-10003988,20,20,2,0.04,40,1.6,40,38.4,-1.6000000000000014,-4.1666666666666705
50,2023-06-18,Standard Class,Consumer,United States,New Albany,Indiana,47150,Central,Office Supplies,Binders,OFF-BI-10004410,30,40,6,0.04,240,9.6,180,230.4,50.400000000000006,21.875000000000004
51,2022-01-11,Standard Class,Consumer,United States,New Albany,Indiana,47150,Central,Office Supplies,Labels,OFF-LA-10002762,70,80,6,0.04,480,19.2,420,460.8,40.80000000000001,8.854166666666668
52,2023-09-09,Standard Class,Consumer,United States,New Albany,Indiana,47150,Central,Furniture,Furnishings,FUR-FU-10001706,10,10,2,0.04,20,0.8,20,19.2,-0.8000000000000007,-4.1666666666666705
53,2022-01-31,Standard Class,Consumer,United States,New Albany,Indiana,47150,Central,Furniture,Chairs,FUR-CH-10003061,70,90,1,0.05,90,4.5,70,85.5,15.5,18.128654970760234
54,2023-07-30,Standard Class,Corporate,United States,New York City,New York,10024,East,Office Supplies,Fasteners,OFF-FA-10000304,20,20,7,0.03,140,4.2,140,135.8,-4.199999999999989,-3.0927835051546304
55,2023-10-17,Standard Class,Corporate,United States,New York City,New York,10024,East,Technology,Phones,TEC-PH-10002447,850,1030,5,0.04,5150,206.0,4250,4944.0,694.0,14.037216828478966
56,2023-07-06,First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Storage,OFF-ST-10000604,200,210,6,0.05,1260,63.0,1200,1197.0,-3.0,-0.2506265664160401
57,2023-09-15,First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Paper,OFF-PA-10001569,30,30,5,0.05,150,7.5,150,142.5,-7.5,-5.263157894736842
58,2022-08-09,First Class,Consumer,United States,Troy,New York,12180,East,Furniture,Chairs,FUR-CH-10003968,290,320,5,0.02,1600,32.0,1450,1568.0,118.0,7.525510204081633
59,2022-04-05,First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Paper,OFF-PA-10000587,10,10,2,0.04,20,0.8,20,19.2,-0.8000000000000007,-4.1666666666666705
60,2023-06-24,First Class,Consumer,United States,Troy,New York,12180,East,Technology,Accessories,TEC-AC-10002167,20,30,2,0.05,60,3.0,40,57.0,17.0,29.82456140350877
61,2022-03-10,First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Binders,OFF-BI-10001460,40,50,4,0.02,200,4.0,160,196.0,36.0,18.367346938775512
63,2023-10-16,Standard Class,Consumer,United States,Los Angeles,California,90004,West,Technology,Accessories,TEC-AC-10004633,10,10,2,0.03,20,0.6,20,19.4,-0.6000000000000014,-3.0927835051546464
64,2023-08-02,Standard Class,Consumer,United States,Los Angeles,California,90004,West,Office Supplies,Binders,OFF-BI-10001078,20,30,6,0.02,180,3.6,120,176.4,56.400000000000006,31.97278911564626
65,2022-11-05,Standard Class,Consumer,United States,Los Angeles,California,90004,West,Office Supplies,Paper,OFF-PA-10003892,130,150,3,0.05,450,22.5,390,427.5,37.5,8.771929824561402
66,2022-05-06,Standard Class,Consumer,United States,Los Angeles,California,90004,West,Furniture,Furnishings,FUR-FU-10000397,70,80,4,0.02,320,6.4,280,313.6,33.60000000000002,10.71428571428572
67,2022-03-26,Standard Class,Home Office,United States,Chicago,Illinois,60610,Central,Furniture,Chairs,FUR-CH-10001146,180,210,5,0.05,1050,52.5,900,997.5,97.5,9.774436090225564
68,2022-04-10,Standard Class,Corporate,United States,Gilbert,Arizona,85234,West,Office Supplies,Art,OFF-AR-10002671,940,1110,8,0.03,8880,266.4,7520,8613.6,1093.6000000000004,12.696201355995173
69,2022-08-12,Standard Class,Corporate,United States,Gilbert,Arizona,85234,West,Technology,Phones,TEC-PH-10002726,160,170,4,0.03,680,20.4,640,659.6,19.600000000000023,2.9714978775015193
70,2022-02-25,First Class,Consumer,United States,Springfield,Virginia,22153,South,Office Supplies,Paper,OFF-PA-10000482,70,80,2,0.02,160,3.2,140,156.8,16.80000000000001,10.71428571428572
72,2022-12-18,Second Class,Consumer,United States,Jackson,Michigan,49201,Central,Office Supplies,Paper,OFF-PA-10004675,20,20,3,0.03,60,1.7999999999999998,60,58.2,-1.7999999999999972,-3.092783505154634
73,2023-03-07,Standard Class,Consumer,United States,Memphis,Tennessee,38109,South,Furniture,Chairs,FUR-CH-10000513,790,830,8,0.02,6640,132.8,6320,6507.2,187.19999999999982,2.876813375952788
74,2023-07-12,Standard Class,Consumer,United States,Memphis,Tennessee,38109,South,Furniture,Furnishings,FUR-FU-10003708,90,100,2,0.03,200,6.0,180,194.0,14.0,7.216494845360824
75,2022-10-21,Standard Class,Consumer,United States,Memphis,Tennessee,38109,South,Office Supplies,Storage,OFF-ST-10004123,60,70,1,0.02,70,1.4000000000000001,60,68.6,8.599999999999994,12.53644314868804
77,2023-05-20,First Class,Corporate,United States,Houston,Texas,77041,Central,Furniture,Furnishings,FUR-FU-10000260,10,10,3,0.04,30,1.2,30,28.8,-1.1999999999999993,-4.166666666666664
78,2023-05-13,First Class,Corporate,United States,Houston,Texas,77041,Central,Office Supplies,Storage,OFF-ST-10000615,20,30,3,0.02,90,1.8,60,88.2,28.200000000000003,31.97278911564626
79,2022-10-20,Second Class,Consumer,United States,Houston,Texas,77070,Central,Furniture,Furnishings,FUR-FU-10003194,20,20,5,0.02,100,2.0,100,98.0,-2.0,-2.0408163265306123
80,2023-10-22,First Class,Corporate,United States,Decatur,Alabama,35601,South,Office Supplies,Appliances,OFF-AP-10002118,190,210,1,0.03,210,6.3,190,203.7,13.699999999999989,6.725576828669606
81,2022-07-20,First Class,Corporate,United States,Decatur,Alabama,35601,South,Office Supplies,Binders,OFF-BI-10002309,20,20,3,0.02,60,1.2,60,58.8,-1.2000000000000028,-2.040816326530617
82,2022-11-16,Standard Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Art,OFF-AR-10002053,10,10,5,0.05,50,2.5,50,47.5,-2.5,-5.263157894736842
83,2022-11-10,Standard Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Storage,OFF-ST-10002370,20,20,1,0.04,20,0.8,20,19.2,-0.8000000000000007,-4.1666666666666705
84,2022-03-15,Standard Class,Corporate,United States,Durham,North Carolina,27707,South,Office Supplies,Envelopes,OFF-EN-10000927,180,200,7,0.03,1400,42.0,1260,1358.0,98.0,7.216494845360824
85,2023-10-03,First Class,Home Office,United States,Chicago,Illinois,60623,Central,Office Supplies,Storage,OFF-ST-10003656,210,230,3,0.02,690,13.8,630,676.2,46.200000000000045,6.832298136645969
86,2022-03-20,Second Class,Consumer,United States,Columbia,South Carolina,29203,South,Furniture,Chairs,FUR-CH-10000863,260,300,2,0.05,600,30.0,520,570.0,50.0,8.771929824561402
87,2023-12-04,Standard Class,Consumer,United States,Rochester,Minnesota,55901,Central,Technology,Accessories,TEC-AC-10001998,20,20,1,0.05,20,1.0,20,19.0,-1.0,-5.263157894736842
88,2023-11-24,Standard Class,Consumer,United States,Rochester,Minnesota,55901,Central,Office Supplies,Labels,OFF-LA-10000134,10,10,2,0.05,20,1.0,20,19.0,-1.0,-5.263157894736842
89,2023-12-30,Second Class,Home Office,United States,Houston,Texas,77095,Central,Office Supplies,Storage,OFF-ST-10003442,140,160,7,0.05,1120,56.0,980,1064.0,84.0,7.894736842105263
90,2022-05-23,Standard Class,Corporate,United States,Los Angeles,California,90036,West,Office Supplies,Art,OFF-AR-10004930,20,20,3,0.02,60,1.2,60,58.8,-1.2000000000000028,-2.040816326530617
91,2023-04-06,Standard Class,Corporate,United States,Los Angeles,California,90036,West,Technology,Phones,TEC-PH-10004093,60,70,2,0.02,140,2.8000000000000003,120,137.2,17.19999999999999,12.53644314868804
92,2022-03-23,Standard Class,Corporate,United States,Los Angeles,California,90036,West,Office Supplies,Paper,OFF-PA-10000304,10,10,1,0.02,10,0.2,10,9.8,-0.1999999999999993,-2.0408163265306047
93,2023-04-07,Second Class,Consumer,United States,Minneapolis,Minnesota,55407,Central,Office Supplies,Paper,OFF-PA-10003177,10,10,2,0.02,20,0.4,20,19.6,-0.3999999999999986,-2.0408163265306047
94,2022-05-13,Second Class,Consumer,United States,Minneapolis,Minnesota,55407,Central,Furniture,Furnishings,FUR-FU-10003799,50,50,3,0.05,150,7.5,150,142.5,-7.5,-5.263157894736842
95,2022-04-23,Second Class,Consumer,United States,Minneapolis,Minnesota,55407,Central,Office Supplies,Binders,OFF-BI-10002852,20,30,2,0.03,60,1.7999999999999998,40,58.2,18.200000000000003,31.271477663230247
96,2023-12-17,Standard Class,Home Office,United States,Portland,Oregon,97206,West,Office Supplies,Binders,OFF-BI-10004738,10,10,1,0.02,10,0.2,10,9.8,-0.1999999999999993,-2.0408163265306047
97,2022-04-28,Second Class,Home Office,United States,New York City,New York,10009,East,Furniture,Furnishings,FUR-FU-10000629,80,100,7,0.05,700,35.0,560,665.0,105.0,15.789473684210526
98,2023-06-14,First Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Binders,OFF-BI-10001721,40,50,3,0.04,150,6.0,120,144.0,24.0,16.666666666666664
99,2023-02-05,Standard Class,Corporate,United States,Saint Paul,Minnesota,55106,Central,Office Supplies,Appliances,OFF-AP-10000358,70,80,6,0.03,480,14.399999999999999,420,465.6,45.60000000000002,9.793814432989695
100,2023-12-30,Standard Class,Home Office,United States,Chicago,Illinois,60610,Central,Office Supplies,Paper,OFF-PA-10003256,60,60,7,0.03,420,12.6,420,407.4,-12.600000000000023,-3.092783505154645
101,2022-02-24,Standard Class,Home Office,United States,Chicago,Illinois,60610,Central,Technology,Accessories,TEC-AC-10001767,80,100,3,0.05,300,15.0,240,285.0,45.0,15.789473684210526
103,2022-01-14,Second Class,Consumer,United States,Rochester,Minnesota,55901,Central,Office Supplies,Paper,OFF-PA-10004040,20,20,4,0.04,80,3.2,80,76.8,-3.200000000000003,-4.1666666666666705
104,2022-12-22,Standard Class,Consumer,United States,Aurora,Colorado,80013,West,Technology,Accessories,TEC-AC-10001552,220,240,6,0.03,1440,43.199999999999996,1320,1396.8,76.79999999999995,5.498281786941578
105,2022-06-09,Standard Class,Consumer,United States,Aurora,Colorado,80013,West,Furniture,Furnishings,FUR-FU-10004006,90,100,3,0.05,300,15.0,270,285.0,15.0,5.263157894736842
106,2023-10-28,Standard Class,Consumer,United States,Aurora,Colorado,80013,West,Office Supplies,Binders,OFF-BI-10002794,30,40,3,0.05,120,6.0,90,114.0,24.0,21.052631578947366
107,2022-10-18,Standard Class,Consumer,United States,Charlotte,North Carolina,28205,South,Technology,Accessories,TEC-AC-10003499,60,70,8,0.05,560,28.0,480,532.0,52.0,9.774436090225564
108,2022-11-23,Standard Class,Consumer,United States,Charlotte,North Carolina,28205,South,Technology,Phones,TEC-PH-10002844,30,30,1,0.03,30,0.8999999999999999,30,29.1,-0.8999999999999986,-3.092783505154634
110,2023-03-17,Standard Class,Home Office,United States,Orland Park,Illinois,60462,Central,Technology,Accessories,TEC-AC-10000844,290,340,5,0.02,1700,34.0,1450,1666.0,216.0,12.965186074429772
111,2023-09-05,Standard Class,Corporate,United States,New York City,New York,10035,East,Furniture,Furnishings,FUR-FU-10001934,30,40,2,0.02,80,1.6,60,78.4,18.400000000000006,23.469387755102048
112,2022-01-28,Standard Class,Consumer,United States,Urbandale,Iowa,50322,Central,Office Supplies,Art,OFF-AR-10000380,70,80,2,0.03,160,4.8,140,155.2,15.199999999999989,9.793814432989684
113,2022-12-26,Standard Class,Consumer,United States,Urbandale,Iowa,50322,Central,Office Supplies,Binders,OFF-BI-10003981,30,30,6,0.03,180,5.3999999999999995,180,174.6,-5.400000000000006,-3.0927835051546424
114,2023-06-06,Second Class,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Fasteners,OFF-FA-10000621,40,40,14,0.02,560,11.200000000000001,560,548.8,-11.200000000000045,-2.0408163265306207
116,2022-11-15,Second Class,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Paper,OFF-PA-10004965,20,20,3,0.04,60,2.4,60,57.6,-2.3999999999999986,-4.166666666666664
117,2022-06-30,Second Class,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Envelopes,OFF-EN-10002504,120,130,6,0.05,780,39.0,720,741.0,21.0,2.834008097165992
118,2023-10-27,Standard Class,Consumer,United States,Seattle,Washington,98103,West,Furniture,Tables,FUR-TA-10001768,720,790,3,0.04,2370,94.8,2160,2275.2,115.19999999999982,5.063291139240499
120,2023-03-30,First Class,Consumer,United States,Wilmington,Delaware,19805,East,Furniture,Furnishings,FUR-FU-10002157,50,50,3,0.03,150,4.5,150,145.5,-4.5,-3.0927835051546393
121,2022-03-03,First Class,Consumer,United States,Wilmington,Delaware,19805,East,Office Supplies,Binders,OFF-BI-10003910,20,30,4,0.02,120,2.4,80,117.6,37.599999999999994,31.972789115646254
122,2022-10-20,First Class,Consumer,United States,Wilmington,Delaware,19805,East,Office Supplies,Storage,OFF-ST-10000777,190,230,6,0.02,1380,27.6,1140,1352.4,212.4000000000001,15.705412599822544
123,2023-01-23,First Class,Consumer,United States,Wilmington,Delaware,19805,East,Office Supplies,Envelopes,OFF-EN-10002500,110,120,9,0.04,1080,43.2,990,1036.8,46.799999999999955,4.513888888888885
124,2023-01-21,First Class,Consumer,United States,Wilmington,Delaware,19805,East,Technology,Phones,TEC-PH-10003875,60,70,7,0.02,490,9.8,420,480.2,60.19999999999999,12.536443148688045
125,2023-07-18,Second Class,Home Office,United States,Houston,Texas,77041,Central,Furniture,Chairs,FUR-CH-10004063,550,600,3,0.03,1800,54.0,1650,1746.0,96.0,5.498281786941581
126,2023-07-15,Standard Class,Consumer,United States,Bloomington,Illinois,61701,Central,Furniture,Tables,FUR-TA-10004534,540,620,6,0.04,3720,148.8,3240,3571.2,331.1999999999998,9.274193548387093
128,2023-03-30,Standard Class,Consumer,United States,Phoenix,Arizona,85023,West,Office Supplies,Storage,OFF-ST-10002974,200,240,7,0.04,1680,67.2,1400,1612.8,212.79999999999995,13.194444444444443
129,2023-09-18,Second Class,Home Office,United States,Los Angeles,California,90004,West,Furniture,Chairs,FUR-CH-10001146,70,80,2,0.02,160,3.2,140,156.8,16.80000000000001,10.71428571428572
130,2022-01-03,Second Class,Home Office,United States,Los Angeles,California,90004,West,Furniture,Furnishings,FUR-FU-10003773,220,240,3,0.04,720,28.8,660,691.2,31.200000000000045,4.513888888888895
131,2022-07-17,First Class,Corporate,United States,Columbus,Ohio,43229,East,Technology,Phones,TEC-PH-10002293,50,60,5,0.03,300,9.0,250,291.0,41.0,14.0893470790378
132,2022-03-30,First Class,Corporate,United States,Columbus,Ohio,43229,East,Office Supplies,Paper,OFF-PA-10002377,80,80,2,0.04,160,6.4,160,153.6,-6.400000000000006,-4.1666666666666705
133,2022-05-01,First Class,Corporate,United States,Columbus,Ohio,43229,East,Office Supplies,Fasteners,OFF-FA-10002780,20,20,9,0.05,180,9.0,180,171.0,-9.0,-5.263157894736842
134,2023-04-29,Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Paper,OFF-PA-10001804,20,20,3,0.04,60,2.4,60,57.6,-2.3999999999999986,-4.166666666666664
135,2022-10-28,Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Paper,OFF-PA-10001736,30,40,1,0.05,40,2.0,30,38.0,8.0,21.052631578947366
136,2022-03-05,Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Art,OFF-AR-10001149,10,10,4,0.05,40,2.0,40,38.0,-2.0,-5.263157894736842
138,2023-10-16,Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Binders,OFF-BI-10004781,70,80,3,0.02,240,4.8,210,235.2,25.19999999999999,10.71428571428571
139,2022-05-15,Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Supplies,OFF-SU-10001218,60,70,6,0.05,420,21.0,360,399.0,39.0,9.774436090225564
140,2023-06-06,Standard Class,Consumer,United States,Roseville,California,95661,West,Furniture,Furnishings,FUR-FU-10001706,40,40,14,0.02,560,11.200000000000001,560,548.8,-11.200000000000045,-2.0408163265306207
141,2022-06-10,Second Class,Corporate,United States,Philadelphia,Pennsylvania,19140,East,Furniture,Furnishings,FUR-FU-10004848,60,80,2,0.02,160,3.2,120,156.8,36.80000000000001,23.469387755102048
142,2022-07-22,Standard Class,Corporate,United States,San Francisco,California,94122,West,Office Supplies,Art,OFF-AR-10000940,10,10,3,0.03,30,0.8999999999999999,30,29.1,-0.8999999999999986,-3.092783505154634
143,2023-12-27,Standard Class,Corporate,United States,San Francisco,California,94122,West,Office Supplies,Envelopes,OFF-EN-10004030,10,10,3,0.02,30,0.6,30,29.4,-0.6000000000000014,-2.040816326530617
144,2023-11-29,Standard Class,Corporate,United States,San Francisco,California,94122,West,Office Supplies,Paper,OFF-PA-10004327,130,140,3,0.05,420,21.0,390,399.0,9.0,2.2556390977443606
145,2022-03-19,Standard Class,Consumer,United States,Independence,Missouri,64055,Central,Office Supplies,Appliances,OFF-AP-10001058,780,840,3,0.02,2520,50.4,2340,2469.6,129.5999999999999,5.247813411078714
146,2023-06-04,Standard Class,Consumer,United States,Pasadena,California,91104,West,Office Supplies,Storage,OFF-ST-10003656,600,670,7,0.03,4690,140.7,4200,4549.3,349.3000000000002,7.678104323742117
147,2023-05-31,Standard Class,Home Office,United States,Newark,Ohio,43055,East,Furniture,Furnishings,FUR-FU-10000521,80,90,4,0.04,360,14.4,320,345.6,25.600000000000023,7.407407407407414
148,2022-06-12,Standard Class,Corporate,United States,Franklin,Wisconsin,53132,Central,Technology,Phones,TEC-PH-10000215,350,380,11,0.04,4180,167.20000000000002,3850,4012.8,162.80000000000018,4.057017543859653
149,2022-05-18,Standard Class,Corporate,United States,Franklin,Wisconsin,53132,Central,Technology,Phones,TEC-PH-10001448,140,150,3,0.05,450,22.5,420,427.5,7.5,1.7543859649122806
150,2022-01-23,Standard Class,Corporate,United States,Franklin,Wisconsin,53132,Central,Furniture,Chairs,FUR-CH-10000454,1580,1950,8,0.03,15600,468.0,12640,15132.0,2492.0,16.468411313772137
151,2023-08-21,Standard Class,Corporate,United States,Franklin,Wisconsin,53132,Central,Office Supplies,Binders,OFF-BI-10002735,150,170,5,0.04,850,34.0,750,816.0,66.0,8.088235294117647
152,2023-08-31,First Class,Home Office,United States,Scottsdale,Arizona,85254,West,Office Supplies,Appliances,OFF-AP-10000326,140,160,5,0.05,800,40.0,700,760.0,60.0,7.894736842105263
153,2022-10-25,First Class,Home Office,United States,Scottsdale,Arizona,85254,West,Technology,Phones,TEC-PH-10001254,160,200,2,0.02,400,8.0,320,392.0,72.0,18.367346938775512
154,2022-10-07,First Class,Corporate,United States,San Jose,California,95123,West,Office Supplies,Paper,OFF-PA-10001950,50,60,7,0.04,420,16.8,350,403.2,53.19999999999999,13.194444444444443
155,2023-03-25,First Class,Corporate,United States,San Jose,California,95123,West,Office Supplies,Paper,OFF-PA-10002254,100,110,4,0.04,440,17.6,400,422.4,22.399999999999977,5.303030303030297
156,2023-03-27,First Class,Corporate,United States,San Jose,California,95123,West,Office Supplies,Storage,OFF-ST-10001590,60,80,6,0.04,480,19.2,360,460.8,100.80000000000001,21.875000000000004
157,2022-05-03,Standard Class,Home Office,United States,Seattle,Washington,98105,West,Office Supplies,Art,OFF-AR-10001547,10,10,3,0.03,30,0.8999999999999999,30,29.1,-0.8999999999999986,-3.092783505154634
